District,Total,Date,Vac
Theni,6428.0,02-06-2021,236.8583765
Thoothukudi,2975.0,02-06-2021,239.2086736
Tiruchirapalli,2859.0,02-06-2021,171.6856237
Tirunelveli,1368.0,02-06-2021,56.9340277
Tirupathur,2222.0,02-06-2021,127.8204485
Tiruppur,1877.0,02-06-2021,168.8235061
Tiruvallur,1258.0,02-06-2021,33.76549408
Tiruvannamalai,1845.0,02-06-2021,145.493946
Tiruvarur,12.0,02-06-2021,0.486033621
Vellore,938.0,02-06-2021,58.10776823
Villupuram,1329.0,02-06-2021,63.49728118
Virudhunagar,686.0,02-06-2021,35.30061354
Ariyalur,22173.0,03-04-2021,2946.652474
Chengalpattu,128142.0,03-04-2021,5012.901742
Chennai,811559.0,03-04-2021,11430.40845
Coimbatore,207400.0,03-04-2021,5972.508033
Cuddalore,76977.0,03-04-2021,2959.652118
Dharmapuri,50870.0,03-04-2021,3384.789407
Dindigul,67017.0,03-04-2021,3100.676563
Erode,70812.0,03-04-2021,3133.817901
Kallakurichi,33063.0,03-04-2021,2412.862763
Kancheepuram,36662.0,03-04-2021,3143.172888
Kanniyakumari,60728.0,03-04-2021,3259.377258
Karur,35235.0,03-04-2021,3272.839749
Krishnagiri,84422.0,03-04-2021,4481.637771
Madurai,127587.0,03-04-2021,3196.837514
Nagapattinam,32256.0,03-04-2021,1998.427577
Namakkal,82807.0,03-04-2021,11265.1703
The Nilgiris,74179.0,03-04-2021,3001.713322
Perambalur,21154.0,03-04-2021,1229.041256
Pudukkottai,43856.0,03-04-2021,7768.847728
Ramanathapuram,34366.0,03-04-2021,1791.085226
Ranipet,23884.0,03-04-2021,1785.639523
Salem,198852.0,03-04-2021,16430.28827
Sivagangai,37775.0,03-04-2021,1085.48601
Tenkasi,34856.0,03-04-2021,2598.769804
Thanjavur,81683.0,03-04-2021,5802.886702
Theni,28608.0,03-04-2021,1054.145058
Thoothukudi,38328.0,03-04-2021,3081.811779
Tiruchirapalli,116352.0,03-04-2021,6987.046413
Tirunelveli,39058.0,03-04-2021,1625.53308
Tirupathur,32320.0,03-04-2021,1859.206524
Tiruppur,69187.0,03-04-2021,6222.904592
Tiruvallur,92743.0,03-04-2021,2489.279187
Tiruvannamalai,46184.0,03-04-2021,3642.001303
Tiruvarur,21832.0,03-04-2021,884.2571685
Vellore,90261.0,03-04-2021,5591.540797
Villupuram,74450.0,03-04-2021,3557.08998
Virudhunagar,113494.0,03-04-2021,5840.244655
Ariyalur,664.0,03-05-2021,88.24143068
Chengalpattu,3369.0,03-05-2021,131.7949304
Chennai,11799.0,03-05-2021,166.1830986
Coimbatore,3407.0,03-05-2021,98.1115471
Cuddalore,2363.0,03-05-2021,90.85386485
Dharmapuri,212.0,03-05-2021,14.10606161
Dindigul,2362.0,03-05-2021,109.2826901
Erode,4025.0,03-05-2021,178.1282417
Kallakurichi,621.0,03-05-2021,45.31917176
Kancheepuram,775.0,03-05-2021,66.44370161
Kanniyakumari,2301.0,03-05-2021,123.4986673
Karur,1263.0,03-05-2021,117.3150732
Krishnagiri,3477.0,03-05-2021,184.5804948
Madurai,3352.0,03-05-2021,83.98817551
Nagapattinam,1006.0,03-05-2021,62.32695133
Namakkal,2546.0,03-05-2021,346.3610998
The Nilgiris,1925.0,03-05-2021,77.89668431
Perambalur,547.0,03-05-2021,31.78054113
Pudukkottai,1175.0,03-05-2021,208.1447483
Ramanathapuram,1083.0,03-05-2021,56.44373217
Ranipet,974.0,03-05-2021,72.81916325
Salem,7162.0,03-05-2021,591.7653562
Sivagangai,1055.0,03-05-2021,30.31602226
Tenkasi,1683.0,03-05-2021,125.4799627
Thanjavur,1690.0,03-05-2021,120.0602148
Theni,1098.0,03-05-2021,40.45900707
Thoothukudi,1093.0,03-05-2021,87.88406058
Tiruchirapalli,2185.0,03-05-2021,131.2112934
Tirunelveli,793.0,03-05-2021,33.00342395
Tirupathur,473.0,03-05-2021,27.2093034
Tiruppur,1853.0,03-05-2021,166.6648678
Tiruvallur,2634.0,03-05-2021,70.69818077
Tiruvannamalai,944.0,03-05-2021,74.44243092
Tiruvarur,1130.0,03-05-2021,45.76816601
Vellore,1432.0,03-05-2021,88.71036685
Villupuram,2386.0,03-05-2021,113.998881
Virudhunagar,2433.0,03-05-2021,125.1988232
Ariyalur,22241.0,04-04-2021,2955.689247
Chengalpattu,128542.0,04-04-2021,5028.5497
Chennai,820931.0,04-04-2021,11562.40845
Coimbatore,207565.0,04-04-2021,5977.259546
Cuddalore,77323.0,04-04-2021,2972.955307
Dharmapuri,50994.0,04-04-2021,3393.040122
Dindigul,67213.0,04-04-2021,3109.744898
Erode,70921.0,04-04-2021,3138.641747
Kallakurichi,33083.0,04-04-2021,2414.322318
Kancheepuram,36838.0,04-04-2021,3158.262039
Kanniyakumari,60859.0,04-04-2021,3266.408255
Karur,35358.0,04-04-2021,3284.264733
Krishnagiri,84570.0,04-04-2021,4489.494519
Madurai,128691.0,04-04-2021,3224.499491
Nagapattinam,32355.0,04-04-2021,2004.561143
Namakkal,82952.0,04-04-2021,11284.89629
The Nilgiris,74332.0,04-04-2021,3007.904591
Perambalur,21208.0,04-04-2021,1232.17864
Pudukkottai,43939.0,04-04-2021,7783.550719
Ramanathapuram,34435.0,04-04-2021,1794.681364
Ranipet,23905.0,04-04-2021,1787.209546
Salem,198947.0,04-04-2021,16438.13772
Sivagangai,37979.0,04-04-2021,1091.348066
Tenkasi,34885.0,04-04-2021,2600.931966
Thanjavur,81683.0,04-04-2021,5802.886702
Theni,28668.0,04-04-2021,1056.355933
Thoothukudi,38414.0,04-04-2021,3088.726718
Tiruchirapalli,116453.0,04-04-2021,6993.111557
Tirunelveli,39109.0,04-04-2021,1627.655621
Tirupathur,32358.0,04-04-2021,1861.392472
Tiruppur,69694.0,04-04-2021,6268.505827
Tiruvallur,93062.0,04-04-2021,2497.841344
Tiruvannamalai,46282.0,04-04-2021,3649.729436
Tiruvarur,21832.0,04-04-2021,884.2571685
Vellore,90526.0,04-04-2021,5607.957171
Villupuram,74497.0,04-04-2021,3559.335558
Virudhunagar,113656.0,04-04-2021,5848.580951
Ariyalur,43268.0,04-05-2021,5750.045516
Chengalpattu,260895.0,04-05-2021,10206.18533
Chennai,1513248.0,04-05-2021,21313.35211
Coimbatore,424742.0,04-05-2021,12231.31633
Cuddalore,146798.0,04-05-2021,5644.16659
Dharmapuri,88796.0,04-05-2021,5908.3106
Dindigul,140753.0,04-05-2021,6512.221201
Erode,143298.0,04-05-2021,6341.719449
Kallakurichi,57101.0,04-05-2021,4167.101492
Kancheepuram,69505.0,04-05-2021,5958.928362
Kanniyakumari,122168.0,04-05-2021,6556.968792
Karur,58169.0,04-05-2021,5403.088275
Krishnagiri,136473.0,04-05-2021,7244.824234
Madurai,233264.0,04-05-2021,5844.695039
Nagapattinam,60006.0,04-05-2021,3717.684932
Namakkal,145846.0,04-05-2021,19841.07658
The Nilgiris,136671.0,04-05-2021,5530.502723
Perambalur,34942.0,04-05-2021,2030.120051
Pudukkottai,84259.0,04-05-2021,14926.01561
Ramanathapuram,72763.0,04-05-2021,3792.25788
Ranipet,47657.0,04-05-2021,3562.980352
Salem,354015.0,04-05-2021,29250.74177
Sivagangai,68513.0,04-05-2021,1968.759842
Tenkasi,62776.0,04-05-2021,4680.410065
Thanjavur,144773.0,04-05-2021,10284.89792
Theni,60317.0,04-05-2021,2222.555491
Thoothukudi,81571.0,04-05-2021,6558.820408
Tiruchirapalli,219081.0,04-05-2021,13156.01894
Tirunelveli,75325.0,04-05-2021,3134.909091
Tirupathur,69113.0,04-05-2021,3975.722168
Tiruppur,138311.0,04-05-2021,12440.14276
Tiruvallur,188120.0,04-05-2021,5049.256555
Tiruvannamalai,83902.0,04-05-2021,6616.386482
Tiruvarur,46857.0,04-05-2021,1897.839783
Vellore,171174.0,04-05-2021,10603.98627
Villupuram,105867.0,04-05-2021,5058.138952
Virudhunagar,190673.0,04-05-2021,9811.769513
Ariyalur,23022.0,05-04-2021,3059.479243
Chengalpattu,136391.0,05-04-2021,5335.601766
Chennai,859997.0,05-04-2021,12112.6338
Coimbatore,210798.0,05-04-2021,6070.360407
Cuddalore,81335.0,05-04-2021,3127.21079
Dharmapuri,52007.0,05-04-2021,3460.443143
Dindigul,70189.0,05-04-2021,3247.435535
Erode,74568.0,05-04-2021,3300.041423
Kallakurichi,34570.0,05-04-2021,2522.840206
Kancheepuram,38553.0,05-04-2021,3305.29552
Kanniyakumari,64074.0,05-04-2021,3438.96289
Karur,36568.0,05-04-2021,3396.656846
Krishnagiri,87525.0,05-04-2021,4646.364051
Madurai,135747.0,05-04-2021,3401.295603
Nagapattinam,33791.0,05-04-2021,2093.528839
Namakkal,85860.0,05-04-2021,11680.50433
The Nilgiris,78776.0,05-04-2021,3187.734651
Perambalur,21594.0,05-04-2021,1254.605128
Pudukkottai,46085.0,05-04-2021,8163.702744
